,bountyGold,dangerPings,objectivesStolen,epicMonsterSteals,firstTowerAssist,visionClearedPings,totalUnitsHealed,physicalDamageDealtToChampions,scuttleCrabKills,champLevel,detectorWardsPlaced,totalHeal,takedownOnFirstTurret,laneMinionsFirst10Minutes,perfectGame,role,inhibitorKills,spell3Casts,turretsTakenWithRiftHerald,multikills,abilityUses,inhibitorTakedowns,goldEarned,largestMultiKill,assistMePings,neutralMinionsKilled,killParticipation,championName,gameEndedInSurrender,killsUnderOwnTurret,teamEarlySurrendered,summoner1Casts,timeCCingOthers,elderDragonMultikills,doubleKills,takedowns,totalHealsOnTeammates,individualPosition,spell4Casts,killingSprees,itemsPurchased,visionWardsBoughtInGame,legendaryCount,timePlayed,fullTeamTakedown,moreEnemyJungleThanOpponent,unseenRecalls,spell1Casts,visionScore,item2,immobilizeAndKillWithAlly,saveAllyFromDeath,win,item4,snowballsHit,turretsLost,pickKillWithAlly,commandPings,onMyWayPings,baitPings,statPerks.flex,largestKillingSpree,holdPings,turretKills,allInPings,physicalDamageDealt,turretTakedowns,assists,goldPerMinute,teamDamagePercentage,damageSelfMitigated,baronTakedowns,dragonTakedowns,alliedJungleMonsterKills,firstBloodAssist,totalMinionsKilled,deaths,item5,lostAnInhibitor,hadOpenNexus,multiKillOneSpell,bountyLevel,physicalDamageTaken,buffsStolen,killsOnOtherLanesEarlyJungleAsLaner,totalAllyJungleMinionsKilled,outnumberedKills,damagePerMinute,eligibleForProgression,pentaKills,item3,stealthWardsPlaced,getBackPings,spell2Casts,tripleKills,skillshotsDodged,teamRiftHeraldKills,totalDamageDealtToChampions,statPerks.defense,champExperience,enemyJungleMonsterKills,takedownsFirstXMinutes,damageTakenOnTeamPercentage,effectiveHealAndShielding,consumablesPurchased,turretPlatesTaken,wardTakedownsBefore20M,quadraKills,enemyMissingPings,summoner2Casts,firstBloodKill,goldSpent,longestTimeSpentLiving,quickFirstTurret,gameEndedInEarlySurrender,totalTimeSpentDead,damageDealtToObjectives,sightWardsBoughtInGame,totalDamageTaken,wardTakedowns,dragonKills,kills,riftHeraldTakedowns,largestCriticalStrike,skillshotsHit,killingSprees,wardsKilled,enemyVisionPings,soloKills,item0,basicPings,item6,damageDealtToTurrets,gameLength,acesBefore15Minutes,controlWardsPlaced,totalTimeCCDealt,kTurretsDestroyedBeforePlatesFall,teamElderDragonKills,baronKills,multikillsAfterAggressiveFlash,magicDamageTaken,maxKillDeficit,killAfterHiddenWithAlly,landSkillShotsEarlyGame,statPerks.offense,damageDealtToBuildings,12AssistStreakCount,takedownsAfterGainingLevelAdvantage,inhibitorsLost,firstTurretKilled,firstTowerKill,enemyChampionImmobilizations,jungleCsBefore10Minutes,summonerName,turretTakedowns,kda,lane,killsNearEnemyTurret,teamBaronKills,magicDamageDealt,item1,teamPosition,totalDamageDealt,wardsGuarded,elderDragonKillsWithOpposingSoul,unrealKills,wardsPlaced,flawlessAces,takedownsBeforeJungleMinionSpawn,magicDamageDealtToChampions,completeSupportQuestInTime,needVisionPings,totalDamageShieldedOnTeammates
0,300,0,0,0,False,0,1,12587,0,18,0,5872,0,5,0,SUPPORT,0,42,0,0,132,0,14124,1,0,0,0.7727272727272727,Shen,False,1,False,5,50,0,0,34,0,Invalid,4,0,23,0,0,1419,12,0,0,57,0,3068,16,0,False,3075,16,4,29,0,0,0,5008,2,0,0,0,16615,0,28,596.8270730047503,0.1552452190796101,101461,0,0,0,False,22,10,3067,0,0,0,0,35831,0,0,0,3,1086.2478889515903,True,0,4401,0,0,29,0,53,0,25707,5002,22871,0,24,0.3218062598030817,1939.5579833984373,2,0,4,0,0,33,False,13400,332,0,False,276,0,0,58100,7,0,6,0,22,0,1,0,0,0,3084,0,2052,0,1419.9657198999998,0,0,153,0,0,0,0,18518,0,10,0,5005,0,0,0,2,0,False,34,0,Masgt7,0,3.4,MIDDLE,2,0,24487,3111,,47851,0,0,0,0,0,0,9914,0,0,1939
0,975,0,0,0,False,0,1,27510,0,18,0,3813,0,46,0,DUO,0,32,0,1,112,0,15387,2,0,0,0.609375,Xayah,False,4,False,5,12,0,1,39,0,Invalid,7,1,20,0,0,1164,10,0,0,39,0,6675,8,0,False,3046,0,4,28,0,0,0,5008,3,0,0,0,81410,0,24,792.8871680056375,0.2245397244264145,12694,0,0,0,False,80,13,3035,0,0,0,0,20919,0,0,0,0,1423.0400480781705,True,0,3072,0,0,34,0,93,0,27617,5002,19144,0,34,0.1613884631165072,0.0,2,0,0,0,0,6,False,15250,164,0,False,336,456,0,30754,0,0,15,0,647,49,4,0,1,0,6672,0,2052,456,1164.4312519,1,0,12,0,0,0,0,7575,0,7,24,5005,456,0,0,2,0,False,10,0,Masgt7,0,3.0,NONE,3,0,332,3006,,86697,0,0,0,0,1,3,107,0,0,0
0,1875,0,0,0,True,0,1,16474,0,18,0,7044,0,11,0,SUPPORT,0,38,0,6,149,1,17809,2,0,0,0.5490196078431373,Jax,False,2,False,6,20,0,6,28,0,Invalid,11,1,21,0,0,1387,2,0,0,43,0,3161,8,0,True,3153,16,4,14,2,5,0,5008,3,0,1,0,36706,3,9,769.816701593891,0.2452173474995403,48061,0,0,0,False,31,10,3082,1,0,0,2,18023,0,0,0,10,1152.3529366220307,True,0,6333,0,0,57,0,69,0,26658,5002,23613,0,16,0.2204358907812324,0.0,1,0,0,0,2,36,False,15350,236,1,False,286,2570,0,35250,0,0,19,0,0,0,7,0,0,4,6632,0,2052,2570,1388.0507987,2,0,55,1,0,0,0,13132,7,15,0,5005,2570,0,0,1,1,False,22,0,Masgt7,3,2.8,TOP,5,0,17154,3111,,55841,0,0,0,0,0,0,8384,0,0,0
0,600,0,0,0,False,0,1,10420,0,16,0,5339,0,25,0,SUPPORT,0,44,0,2,140,1,12063,2,0,0,0.5,Camille,True,0,False,4,13,0,2,20,0,Invalid,6,0,20,0,0,992,5,0,0,82,0,3074,8,0,True,1037,8,2,14,0,0,0,5008,2,0,1,0,43250,3,14,729.3110369972911,0.1560759862733549,26892,0,0,0,False,43,10,1029,1,0,0,0,14730,0,0,0,2,825.2582831375576,True,0,3156,0,0,8,0,72,0,13649,5002,15126,0,18,0.125878937413742,0.0,0,0,0,0,1,16,False,11775,142,0,False,244,3282,0,24784,0,0,6,0,0,1,2,0,0,0,6632,0,2052,3282,992.4160794,1,0,57,0,0,0,0,9779,17,5,0,5005,3282,0,0,1,1,False,31,0,Masgt7,3,2.0,NONE,4,0,475,3111,,48814,0,0,0,0,0,2,475,0,0,0
0,300,0,0,0,False,0,1,4401,0,18,0,3031,0,28,0,CARRY,0,36,0,1,248,0,14624,2,0,0,0.72,Corki,False,0,False,4,2,0,1,36,0,Invalid,114,1,14,0,0,1260,8,0,0,73,0,3042,1,0,True,3074,0,1,21,1,0,0,5008,4,0,1,0,10683,2,28,696.3428616291524,0.2799671179260388,12172,0,0,0,True,62,6,1026,0,0,0,0,10331,0,0,0,2,1723.4499774720985,True,0,3020,0,0,25,0,20,0,36196,5002,20153,0,25,0.1916262779405366,0.0,0,0,0,0,0,5,False,14600,315,0,False,144,1574,0,22136,0,0,8,0,0,80,2,0,0,0,6655,0,2052,1574,1260.1348931,3,0,135,1,0,0,0,11218,1,6,17,5005,1574,0,0,0,0,False,1,0,Masgt7,2,6.0,MIDDLE,4,0,85214,4645,,95897,0,0,0,0,1,2,31794,0,0,0
0,1250,0,0,0,False,0,1,25472,0,18,0,2589,0,40,0,CARRY,0,32,0,1,178,0,17602,2,1,0,0.4888888888888889,Caitlyn,False,4,False,3,31,0,1,22,0,Invalid,18,1,15,0,0,1451,3,0,0,61,0,6676,1,0,False,3094,0,4,18,0,0,0,5008,4,0,0,0,133972,0,10,727.5819664977146,0.2140259844580355,7890,0,0,0,True,107,8,3072,0,0,0,0,10571,0,0,0,0,1102.1534439923662,True,0,6696,0,0,67,0,42,0,26665,5002,24131,0,13,0.0988360013856805,0.0,0,0,1,0,0,3,False,16600,272,0,False,234,1225,0,18786,2,0,12,0,1155,27,4,0,0,0,6691,0,2052,1225,1451.6234964,1,0,61,0,0,0,1,7912,0,9,9,5005,1225,0,0,2,0,False,19,0,Masgt7,0,2.75,MIDDLE,3,0,1994,3006,,136705,0,0,0,0,0,0,453,0,0,0
0,750,0,0,0,False,0,1,18345,0,18,0,8000,1,12,0,SUPPORT,2,62,0,4,173,2,15641,4,0,0,0.5084745762711864,Camille,False,1,False,4,18,0,2,30,0,Invalid,7,2,15,0,0,1239,3,0,0,90,0,3111,11,0,True,3065,7,1,22,0,0,0,5008,4,0,0,0,43129,2,16,754.3784414720485,0.2047068839080869,43195,0,0,0,False,34,8,1033,0,0,0,2,6897,0,0,0,5,1266.6387129598947,True,0,3161,0,0,14,1,80,0,26262,5002,23141,0,18,0.1661561554779478,0.0,0,0,0,1,0,18,False,13850,203,0,False,194,1354,0,27459,0,0,14,0,0,0,5,0,0,0,6632,0,2052,1354,1244.0622616,3,0,92,1,0,0,1,18771,12,5,0,5005,1354,0,0,0,0,False,35,0,Masgt7,2,3.75,TOP,5,0,1751,3156,,54776,0,0,0,0,3,0,1751,0,0,0
0,150,0,0,0,True,0,1,17485,0,15,0,2631,1,46,0,DUO,0,21,0,6,130,1,12612,4,1,0,0.7555555555555555,Jhin,False,6,False,3,26,0,4,34,0,Invalid,28,1,8,0,1,834,14,0,0,51,0,6696,11,0,True,1037,0,0,21,1,0,0,5008,17,0,0,0,64856,2,17,907.1084254831836,0.245850182879858,3460,0,0,0,False,68,2,1018,0,0,0,17,4209,0,0,0,2,1333.738315975776,True,0,3134,0,0,30,1,22,0,18544,5002,13453,0,34,0.1397898435708498,0.0,0,0,0,1,0,2,False,9575,343,1,False,44,1938,0,6627,0,0,17,0,1392,13,1,0,0,0,6691,0,2052,1938,834.2349615999999,4,0,105,2,0,0,1,2054,1,16,2,5008,1938,0,1,0,1,False,14,0,Masgt7,2,17.0,NONE,5,0,4163,3009,,69019,0,0,0,0,2,0,1058,0,0,0
0,300,0,0,0,False,0,5,2272,0,18,0,14253,1,9,0,SUPPORT,0,48,0,1,196,0,15715,2,2,0,0.7846153846153846,Rakan,False,1,False,3,54,0,1,51,3273,Invalid,10,1,24,0,0,1524,10,0,0,74,0,3075,22,0,False,3083,11,4,35,3,0,0,5008,4,0,0,0,9482,2,45,618.3530165741429,0.0796000964695957,102061,0,0,0,True,21,10,3068,0,0,0,0,40631,0,0,0,1,553.3297180539813,True,0,3047,0,0,64,0,127,0,14063,5002,27804,0,31,0.2377668405624933,9701.458984375,5,0,0,0,0,23,False,15500,251,0,False,286,711,0,49880,0,0,6,0,33,31,1,0,0,0,3121,0,2052,711,1524.9497931,2,0,179,1,0,0,0,7326,0,4,11,5008,711,1,0,2,0,False,52,0,Masgt7,2,5.1,MIDDLE,0,0,32513,6667,,48090,0,0,0,0,0,2,10581,0,0,6428
0,1725,0,0,0,False,0,1,1419,0,18,0,7807,1,30,0,DUO,0,65,0,7,316,0,19501,3,0,0,0.7384615384615385,Ahri,False,8,False,6,38,0,5,48,0,Invalid,37,5,20,0,0,1482,14,0,0,108,0,3020,18,0,False,3135,11,4,37,0,0,0,5008,5,0,0,0,3942,1,26,788.9449365980439,0.3015614483841636,19743,0,0,0,True,73,11,4645,0,0,0,3,18642,0,0,0,5,2385.330266858464,True,0,3089,0,0,106,2,18,0,58960,5002,27200,0,35,0.1884207154258656,0.0,0,0,0,0,0,20,False,18385,239,0,False,340,485,0,31227,0,0,22,0,0,158,7,0,0,2,6653,0,2052,485,1483.0774507,2,0,81,1,0,0,1,8198,0,15,45,5008,485,0,0,1,0,False,35,0,Masgt7,1,4.363636363636363,TOP,2,0,85706,3157,,119919,0,0,0,0,0,2,40744,0,0,0
0,750,0,0,0,False,0,1,22214,0,18,0,4548,1,33,0,SUPPORT,1,23,0,4,154,2,14938,2,0,0,0.6428571428571429,Jinx,False,3,False,4,27,0,4,36,0,Invalid,8,0,18,0,0,1091,4,0,0,81,0,3031,7,0,True,1038,0,1,18,0,1,0,5008,2,0,0,0,91233,3,24,821.2979335098117,0.1796102227835413,8423,0,0,0,False,82,7,1053,0,0,0,2,8221,0,0,0,0,1314.3905154145032,True,0,3085,0,0,42,0,44,0,23907,5002,20763,0,28,0.1562255172236411,0.0,2,0,0,0,0,3,False,12600,210,1,False,190,3268,0,19473,0,0,12,0,696,30,6,0,0,1,6672,0,2052,3268,1091.3588183,4,0,59,1,0,0,0,8978,9,10,14,5005,3268,0,0,0,1,False,15,0,Masgt7,3,5.142857142857143,NONE,1,0,4820,3006,,98733,0,0,0,0,1,0,1693,0,0,0
